RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
395213,366,"Watertown, NY",msa,NY,127.0,124.0,109.0,74.0,65.0,69.0,83.0,100.0,108.0,108.0,110.0,129.0,153.0,139.0,103.0,65.0,60.0,64.0,81.0,84.0,92.0,93.0,102.0,93.0,88.0,90.0,84.0,65.0,42.0,37.0,41.0,39.0,40.0,37.0,43.0,37.0,30.0,16.0,8.0,7.0,10.0,14.0,18.0,22.0,25.0,27.0,23.0,21.0,15.0,12.0,7.0,7.0,9.0,11.0,15.0,23.0,30.0,41.0,53.0
394932,367,"Ogdensburg, NY",msa,NY,,,,,,,,,,,126.0,142.0,148.0,135.0,109.0,81.0,62.0,68.0,88.0,92.0,93.0,99.0,115.0,129.0,142.0,135.0,112.0,69.0,46.0,41.0,53.0,56.0,61.0,70.0,83.0,105.0,91.0,75.0,34.0,23.0,20.0,27.0,33.0,34.0,33.0,35.0,40.0,48.0,49.0,37.0,23.0,13.0,14.0,15.0,17.0,21.0,27.0,44.0,60.0
395080,368,"Sebring, FL",msa,FL,47.0,31.0,31.0,28.0,30.0,30.0,30.0,30.0,31.0,40.0,45.0,43.0,39.0,37.0,39.0,39.0,39.0,38.0,33.0,32.0,35.0,43.0,43.0,40.0,35.0,40.0,45.0,46.0,38.0,28.0,22.0,20.0,17.0,17.0,17.0,16.0,13.0,11.0,10.0,9.0,7.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,9.0,12.0,14.0,16.0,18.0,22.0,21.0,22.0,25.0
395168,369,"Tullahoma, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,31.0,15.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,11.0,13.0,12.0,8.0,5.0,5.0,6.0,7.0,9.0,11.0,12.0,17.0,28.0,36.0
394733,370,"Kalispell, MT",msa,MT,,,,,,,,,,,,,,,,,,,,,,,,86.0,70.0,45.0,43.0,44.0,41.0,42.0,42.0,36.0,26.0,15.0,14.0,11.0,8.0,6.0,6.0,6.0,7.0,9.0,12.0,13.0,17.0,17.0,16.0,10.0,6.0,6.0,6.0,8.0,13.0,20.0,28.0,36.0,36.0,43.0,52.0
394396,371,"Bluefield, WV",msa,VA,98.0,85.0,78.0,69.0,66.0,67.0,60.0,74.0,88.0,106.0,130.0,126.0,133.0,109.0,85.0,72.0,60.0,78.0,80.0,93.0,90.0,85.0,94.0,97.0,101.0,100.0,100.0,87.0,74.0,58.0,49.0,30.0,30.0,46.0,63.0,66.0,49.0,32.0,19.0,17.0,17.0,23.0,21.0,29.0,26.0,34.0,30.0,28.0,23.0,16.0,15.0,12.0,13.0,15.0,12.0,15.0,16.0,25.0,37.0
753912,373,"Pinehurst, NC",msa,NC,52.0,34.0,24.0,32.0,40.0,48.0,49.0,57.0,57.0,57.0,62.0,57.0,45.0,26.0,27.0,26.0,32.0,34.0,36.0,34.0,34.0,38.0,42.0,37.0,28.0,21.0,21.0,22.0,18.0,14.0,14.0,13.0,14.0,14.0,13.0,12.0,9.0,8.0,5.0,5.0,6.0,7.0,7.0,9.0,10.0,10.0,9.0,7.0,6.0,5.0,5.0,6.0,7.0,8.0,11.0,11.0,12.0,13.0,15.0
394762,374,"LaGrange, GA",msa,GA,41.0,33.0,32.0,26.0,29.0,33.0,36.0,39.0,41.0,44.0,42.0,49.0,50.0,46.0,35.0,34.0,30.0,30.0,27.0,32.0,31.0,43.0,51.0,47.0,30.0,16.0,17.0,19.0,19.0,15.0,12.0,11.0,13.0,16.0,15.0,13.0,9.0,7.0,7.0,6.0,7.0,7.0,10.0,10.0,11.0,11.0,11.0,10.0,8.0,8.0,7.0,8.0,9.0,11.0,11.0,10.0,11.0,13.0,21.0
394524,375,"Decatur, IL",msa,IL,84.0,69.0,59.0,50.0,44.0,45.0,52.0,55.0,67.0,75.0,91.0,95.0,104.0,90.0,65.0,36.0,28.0,33.0,48.0,57.0,61.0,76.0,93.0,101.0,76.0,58.0,46.0,46.0,40.0,37.0,33.0,32.0,33.0,37.0,40.0,39.0,28.0,15.0,8.0,7.0,8.0,7.0,9.0,12.0,15.0,17.0,14.0,13.0,10.0,8.0,6.0,7.0,9.0,11.0,10.0,11.0,14.0,19.0,21.0
394630,377,"Gettysburg, PA",msa,PA,46.0,42.0,32.0,30.0,29.0,31.0,35.0,38.0,39.0,44.0,44.0,41.0,40.0,32.0,27.0,22.0,28.0,35.0,38.0,38.0,40.0,45.0,50.0,43.0,32.0,29.0,35.0,32.0,22.0,11.0,15.0,15.0,13.0,10.0,11.0,10.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,11.0,11.0,10.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,12.0,11.0,15.0
